Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason
doqyhjtv,Educational Seminars,Closed Won,2019-11-17,2019-11-17,300,SAVEMORE50,operations,
,Sports Events,Closed Lost,2019-11-24,2019-11-25,150,,operations,price
,Sports Events,Closed Lost,2019-11-24,2019-11-25,768,HALFYEAR20G,operations,no response
cturqi48,Corporate Events,Closed Won,2019-05-07,2019-05-07,240,DISCOUNT50POWER,financial control,
,Sports Events,Closed Lost,2019-11-17,2019-11-25,240,SAVEMONTH50G,financial control,no response
,Corporate Events,Closed Lost,2019-11-19,2019-11-20,360,MONTHSAVE25DEAL,financial control,price
9pl1etry,Corporate Events,Closed Won,2019-12-18,2019-12-18,768,2SEMESTERS20OFF,operations,
7tkbogep,Corporate Events,Closed Won,2019-11-18,2019-11-18,300,MONTH50CUTBACK,operations,
locj094j,Corporate Events,Closed Won,2019-11-18,2019-11-19,300,MONTH50CUTBACK,quality of delivery,
,Corporate Events,Closed Lost,2019-11-18,2019-11-25,1344,YEARLY30PROMO,operations,lost to competitor
5eksx79k,Sports Events,Closed Won,2019-11-20,2019-11-20,120,HALFYEAR20G,financial control,
,Educational Seminars,Demo 1,2019-07-07,2020-01-26,768,HALFYEAR20G,operations,
0xm8ezpj,Educational Seminars,Closed Won,2019-12-08,2019-12-09,1344,ANNUAL30BONUS,financial control,
xb6toen7,Educational Seminars,Closed Lost,2019-12-10,2019-12-16,1344,ANNUAL30BONUS,financial control,no product fit
lx9pv613,Educational Seminars,Closed Won,2019-12-15,2019-12-18,960,YEARLY60,operations,
iua7p276,Educational Seminars,Closed Won,2019-08-06,2019-12-16,300,SAVEMORE50,operations,
o3mh2glp,Corporate Events,Demo 1,2019-11-11,2020-01-26,240,MONTH50REBATE,operations,
9i1sfcw2,Corporate Events,Closed Won,2019-11-13,2019-07-07,240,MONTH50REBATE,operations,
rdq3yd3z,Corporate Events,Closed Won,2019-11-09,2019-11-10,300,MONTH50CUTBACK,operations,
plc6ykua,Corporate Events,Closed Won,2019-11-16,2019-11-16,360,SAVE25LESS,operations,
3n4vaopa,Corporate Events,Closed Lost,2019-11-16,2019-11-25,360,MONTHSAVE25DEAL,quality of delivery,no response
heil7stb,Educational Seminars,Closed Won,2019-11-16,2019-11-16,120,NOCOSTREG,financial control,
